Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
Sri Lanka,2260,69.7,0,1982
St. Kitts and Nevis,2280,64.6,,1982
St. Lucia,2270,69.5,0,1982
St. Vincent and the Grenadines,2420,69.3,,1982
Sudan,1960,55.8,0,1982
Suriname,2340,67.9,0,1982
Sweden,2980,76.6,0,1982
Switzerland,3480,76.4,0.0441,1982
Syria,,66.1,0,1982
Taiwan,2710,72.9,,1982
Tajikistan,0,65.9,0,1982
Tanzania,2230,56,0,1982
Thailand,2030,67.3,0,1982
Timor-Leste,2150,54.9,0,1982
Togo,1970,56.4,0,1982
Tonga,,68.7,,1982
Trinidad and Tobago,2990,67.7,0,1982
Tunisia,2860,67.8,0,1982
Turkey,3410,65.2,0,1982
Turkmenistan,0,64.4,0,1982
Tuvalu,,58.1,,1982
UAE,3430,68.1,,1982
Uganda,2230,51,0,1982
UK,3120,74.2,0,1982
Ukraine,0,70,0,1982
Uruguay,2790,72,0,1982
USA,3190,74.6,0,1982
USSR,3380,,,1982
Uzbekistan,0,67.7,,1982
Vanuatu,2560,62.6,,1982
Venezuela,2580,70.3,0,1982
Vietnam,1950,66.9,0,1982
Yemen,2090,54.3,0,1982
Yugoslavia,3640,,,1982
Zambia,2140,55.6,0,1982
Zimbabwe,2220,61.5,,1982
Afghanistan,2520,42.3,,1983
Albania,2800,71.2,0,1983
Algeria,2550,62.3,0,1983
Andorra,,78.5,,1983
Angola,1730,48.2,0,1983
Antigua and Barbuda,2020,73.8,,1983
Argentina,2990,70.7,0,1983
Armenia,0,70.8,0,1983
Australia,3040,75.3,0,1983
Austria,3360,73.5,0,1983
Azerbaijan,0,66.8,0,1983
Bahamas,2690,70,,1983
Bahrain,,69.2,,1983
Bangladesh,2050,53.1,0,1983
Barbados,2980,73.9,,1983
Belarus,0,71.2,0,1983
Belgium,0,74,0,1983
Belize,2500,71.7,0,1983
Benin,1750,53.4,0,1983
Bermuda,3030,,,1983
Bhutan,,54.8,0,1983
Bolivia,1920,57.8,0,1983
Bosnia and Herzegovina,0,69.6,0,1983
Botswana,2090,62,0,1983
Brazil,2600,64.1,21.7,1983
Brunei,2630,68.2,,1983
Bulgaria,3610,70.9,0,1983
Burkina Faso,1590,49.9,0,1983
Burundi,,49.1,0,1983
Cambodia,1880,53.5,0,1983
Cameroon,2130,56.8,0,1983
Canada,2920,76.1,0,1983
Cape Verde,2350,66.9,0,1983
Central African Republic,2110,49.5,0,1983
Chad,1590,51,0,1983
Chile,2540,70.9,0,1983
China,2400,65.7,0,1983
Colombia,2550,69.8,0,1983
Comoros,,55.6,0,1983
"Congo, Dem. Rep.",,53,0,1983
"Congo, Rep.",2110,54.8,0,1983
Costa Rica,2510,76.1,0,1983
Cote d'Ivoire,2820,57.3,0,1983
Croatia,0,70.3,0,1983
Cuba,3070,74.6,,1983
Cyprus,2670,72,,1983
Czech Republic,0,70.8,0,1983
Czechoslovakia,3410,,,1983
