Country,Food Supply(kilocalories/person&day),Life Expectancy(in years),Number of People in Poverty on Average,Year
USA,3520,75.9,1.7,1991
USSR,3030,,,1991
Uzbekistan,0,68.9,,1991
Vanuatu,2560,63.2,,1991
Venezuela,2420,72.9,0,1991
Vietnam,1860,69.5,0,1991
Yemen,2030,59.5,0,1991
Yugoslavia,3450,,,1991
Zambia,2010,50.7,4.91,1991
Zimbabwe,1960,61.4,,1991
Afghanistan,1890,54.2,,1992
Albania,2650,73.2,0,1992
Algeria,2870,68.3,0,1992
Andorra,,79.2,,1992
Angola,1630,50.3,0,1992
Antigua and Barbuda,2550,74,,1992
Argentina,3080,72.8,0.593,1992
Armenia,2180,69.4,0,1992
Australia,3130,77.6,0,1992
Austria,3550,76.3,0,1992
Azerbaijan,2320,64.5,0,1992
Bahamas,2500,71,,1992
Bahrain,,69.8,,1992
Bangladesh,2110,60.2,79,1992
Barbados,2980,73.9,,1992
Belarus,3100,70.3,0,1992
Belgium,0,76.5,0.0834,1992
Belize,2710,73.6,0,1992
Benin,2140,56.4,0,1992
Bermuda,3020,,,1992
Bhutan,,61.5,0,1992
Bolivia,2020,62.5,0,1992
Bosnia and Herzegovina,2350,68.1,0,1992
Botswana,2200,58.6,0,1992
Brazil,2770,68.3,25.8,1992
Brunei,2830,70,,1992
Bulgaria,3020,69.8,0,1992
Burkina Faso,2290,50.5,0,1992
Burundi,,47.5,4.96,1992
Cambodia,2040,58.6,0,1992
Cameroon,2110,57.8,0,1992
Canada,3090,77.8,0,1992
Cape Verde,2510,69.9,0,1992
Central African Republic,1900,46.8,2.54,1992
Chad,1820,53.5,0,1992
Chile,2710,74.7,0.376,1992
China,2460,68.7,0,1992
Colombia,2640,71.1,2.18,1992
Comoros,,59,0,1992
"Congo, Dem. Rep.",,54.1,0,1992
"Congo, Rep.",2010,53.5,0,1992
Costa Rica,2710,76.9,0.263,1992
Cote d'Ivoire,2590,54.3,0,1992
Croatia,2310,72.4,0,1992
Cuba,2500,75.2,,1992
Cyprus,2790,75.1,,1992
Czech Republic,0,72.4,0,1992
Czechoslovakia,3160,,,1992
Denmark,3340,75.5,0.0347,1992
Djibouti,1510,59,0,1992
Dominica,2870,71.5,,1992
Dominican Republic,2140,73,0.351,1992
Ecuador,2320,72.1,0,1992
Egypt,3180,65.2,0,1992
El Salvador,2410,70.8,0,1992
Equatorial Guinea,,51.6,,1992
Eritrea,,52.7,,1992
Estonia,2520,69.5,0,1992
Eswatini,2320,61.9,0,1992
Ethiopia,0,48.9,0,1992
Fiji,2740,66.4,0,1992
Finland,3190,76,0,1992
France,3550,77.6,0,1992
French Polynesia,2830,,,1992
Gabon,2500,60.9,0,1992
Gambia,2500,60.8,0,1992
Georgia,1930,67.9,0,1992
Germany,3390,76.2,0,1992
Ghana,2120,59.7,7.9,1992
Greece,3610,77.4,0,1992
Grenada,2460,69.7,,1992
Guatemala,2280,61.4,0,1992
Guinea,2450,52.6,0,1992
Guinea-Bissau,2370,49.4,0,1992
Guyana,2410,63.5,0,1992
Haiti,1720,54.9,0,1992
Honduras,2320,69.4,1.39,1992
"Hong Kong, China",3090,78,,1992
Hungary,3280,69.1,0,1992
Iceland,3110,78.5,,1992
India,2330,60,0,1992
Indonesia,2420,64.9,0,1992
Iran,3030,69.3,0,1992
Iraq,2250,67,0,1992
Ireland,3620,75.4,0,1992
Israel,3450,77.1,0,1992
Italy,3540,77.5,0,1992
Jamaica,2630,75.9,0,1992
Japan,2940,79.7,0,1992
Jordan,2740,71.8,0.102,1992
Kazakhstan,2950,66.7,0,1992
Kenya,1930,60.1,9.62,1992
Kiribati,2730,54.7,,1992
Kuwait,2220,79.5,,1992
Kyrgyz Republic,2670,67.1,0,1992
Lao,1960,54,2.5,1992
Latvia,3260,68.8,0,1992
Lebanon,3250,72,,1992
Lesotho,2380,60,0,1992
Liberia,2290,52.3,0,1992
Libya,,73.4,,1992
Lithuania,2980,70.4,0,1992
Luxembourg,0,75.8,,1992
"Macao, China",2720,,,1992
Madagascar,2100,56.6,0,1992
Malawi,1800,48.5,0,1992
Malaysia,2770,72.4,0.313,1992
Maldives,2370,66.6,0,1992
Mali,2360,51,0,1992
Malta,3130,77,,1992
Marshall Islands,,62.7,,1992
Mauritania,2540,60.2,0,1992
Mauritius,2810,70.8,,1992
Mexico,3000,71.5,4.33,1992
"Micronesia, Fed. Sts.",,61.5,0,1992
Moldova,2480,67.8,0.454,1992
Monaco,,78.3,,1992
Mongolia,1850,60.1,,1992
Montenegro,0,75,0,1992
Morocco,2900,66.9,0,1992
Mozambique,1690,52.1,0,1992
Myanmar,1690,55.9,,1992
Namibia,2030,62.3,0,1992
Nauru,,61.7,,1992
Nepal,2230,59.8,0,1992
Netherlands,3320,77.4,0,1992
Netherlands Antilles,2760,,,1992
New Caledonia,2710,,,1992
New Zealand,3190,76.1,,1992
Nicaragua,1790,72.4,0,1992
Niger,2070,48,6.02,1992
Nigeria,2430,54.7,62.3,1992
North Korea,2220,68.4,,1992
North Macedonia,2360,70.3,0,1992
Norway,3220,77.3,0,1992
Oman,2410,67.3,,1992
Pakistan,2330,60.9,0,1992
Palau,,65.5,,1992
Palestine,,69.6,0,1992
Panama,2300,76.6,0,1992
Papua New Guinea,,62.7,0,1992
Paraguay,2380,76,0,1992
Peru,2140,70,0,1992
Philippines,2250,69.3,0,1992
Poland,3360,71.2,0.0115,1992
Portugal,3410,74.7,,1992
Qatar,,69.8,,1992
Romania,2840,69.8,0.0912,1992
Russia,2930,68.1,0,1992
Rwanda,1890,49.1,0,1992
Samoa,2440,67.2,,1992
San Marino,,80.1,,1992
Sao Tome and Principe,2190,63.8,0,1992
Saudi Arabia,2780,68.8,,1992
Senegal,2110,59,0,1992
Serbia,0,71.1,0,1992
Serbia and Montenegro,2990,,,1992
Seychelles,,70.8,0,1992
Sierra Leone,2020,51.3,0,1992
Singapore,,76.5,,1992
Slovak Republic,0,71.7,0,1992
Slovenia,2590,74.5,0,1992
Solomon Islands,2180,56.1,,1992
Somalia,,49.1,,1992
South Africa,2800,63.6,0,1992
South Korea,3000,73.1,,1992
South Sudan,,55,,1992
Spain,3410,77.5,0,1992
Sri Lanka,2150,70.9,0,1992
St. Kitts and Nevis,2510,67.5,,1992
St. Lucia,2690,70.5,0,1992
St. Vincent and the Grenadines,2350,70.2,,1992
Sudan,2020,59.8,0,1992
Suriname,2510,68.5,0,1992
Sweden,3050,78.3,0.0286,1992
Switzerland,3420,78.4,0.23,1992
Syria,,68.6,0,1992
Taiwan,2970,75.2,,1992
Tajikistan,2050,63.4,0,1992
Tanzania,2150,54.1,19.6,1992
Thailand,2270,71.3,4.96,1992
Timor-Leste,1990,61.5,0,1992
Togo,1900,58.1,0,1992
Tonga,,71.4,,1992
Trinidad and Tobago,2570,69.7,0.0515,1992
Tunisia,3140,72.5,0,1992
Turkey,3710,69.6,0,1992
Turkmenistan,2560,65.6,0,1992
Tuvalu,,61.7,,1992
UAE,3200,68.8,,1992
Uganda,2220,47.9,13.5,1992
UK,3270,76.3,0,1992
Ukraine,3370,69.2,0.0157,1992
Uruguay,2760,73.5,0.0284,1992
USA,3560,76,0,1992
USSR,0,,,1992
Uzbekistan,2720,68.2,,1992
Vanuatu,2550,63.1,,1992
Venezuela,2520,72.9,0.91,1992
Vietnam,1920,69.8,0,1992
Yemen,2110,59.9,0,1992
Yugoslavia,0,,,1992
Zambia,1980,49.6,0,1992
Zimbabwe,1960,59.8,,1992
Afghanistan,1910,54.4,,1993
Albania,2800,73.8,0,1993
Algeria,2870,68.6,0,1993
Andorra,,79.3,,1993
Angola,1560,49,0,1993
Antigua and Barbuda,2380,73.4,,1993
Argentina,3120,73,0.696,1993
Armenia,2100,69,0,1993
Australia,3040,77.9,0,1993
Austria,3510,76.5,0,1993
Azerbaijan,2240,64.3,0,1993
Bahamas,2420,70.7,,1993
Bahrain,,70.1,,1993
Bangladesh,2010,61,0,1993
Barbados,2910,73.9,,1993
Belarus,3190,69.3,0.00205,1993
Belgium,0,76.6,0,1993
Belize,2690,73.5,0.018,1993
Benin,2160,56.7,0,1993
Bermuda,2980,,,1993
Bhutan,,62.2,0,1993
Bolivia,2010,62.9,0.621,1993
Bosnia and Herzegovina,2450,69,0,1993
Botswana,2070,56.7,0,1993
Brazil,2770,68.4,24.9,1993
Brunei,2800,70.4,,1993
Bulgaria,2960,69.7,0,1993
Burkina Faso,2310,50.5,0,1993
Burundi,,47.4,0,1993
Cambodia,2030,58.8,0,1993
Cameroon,2020,57.4,0,1993
Canada,3120,77.8,0,1993
Cape Verde,2450,69.8,0,1993
Central African Republic,1880,46,0,1993
Chad,1650,53.7,0,1993
Chile,2710,75,0,1993
China,2540,69,646,1993
Colombia,2680,71.7,0,1993
Comoros,,59.4,0,1993
"Congo, Dem. Rep.",,53.9,0,1993
"Congo, Rep.",2000,52.7,0,1993
Costa Rica,2750,77.1,0.228,1993
Cote d'Ivoire,2520,53.4,3.54,1993
Croatia,2240,72.7,0,1993
Cuba,2320,75.1,,1993
Cyprus,2800,75.2,,1993
Czech Republic,3040,73,0,1993
Czechoslovakia,0,,,1993
Denmark,3340,75.5,0,1993
Djibouti,1570,60.2,0,1993
Dominica,2860,71.6,,1993
Dominican Republic,2220,73.2,0,1993
Ecuador,2320,72.5,0,1993
Egypt,3200,65.4,0,1993
El Salvador,2380,70.9,0,1993
Equatorial Guinea,,51.8,,1993
Eritrea,,53.2,,1993
Estonia,2580,68.3,0.0118,1993
Eswatini,2280,61.8,0,1993
Ethiopia,1510,49.2,0,1993
Fiji,2850,66.2,0,1993
Finland,3040,76.3,0,1993
France,3540,77.8,0,1993
French Polynesia,2820,,,1993
Gabon,2540,60.7,0,1993
Gambia,2470,61.2,0,1993
Georgia,1910,67.8,0,1993
Germany,3200,76.3,0,1993
Ghana,2280,59.9,0,1993
Greece,3550,77.6,0,1993
Grenada,2480,69.9,,1993
Guatemala,2340,61.9,0,1993
Guinea,2430,53.1,0,1993
Guinea-Bissau,2310,49.7,0.712,1993
Guyana,2460,63.2,0.05,1993
Haiti,1720,54.5,0,1993
Honduras,2330,69.5,1.12,1993
"Hong Kong, China",3160,78.3,,1993
Hungary,3110,69.2,0.0155,1993
Iceland,3090,78.6,,1993
India,2270,60.6,0,1993
Indonesia,2430,65.3,102,1993
Iran,3110,69.6,0,1993
Iraq,2260,67.1,0,1993
Ireland,3530,75.5,0,1993
Israel,3400,77.5,0,1993
Italy,3470,77.8,0.568,1993
Jamaica,2710,75.5,0.0932,1993
Japan,2930,79.9,0,1993
Jordan,2730,71.6,0,1993
Kazakhstan,2950,65.7,0.688,1993
Kenya,1890,59,0,1993
Kiribati,2770,54.9,,1993
Kuwait,2490,79.5,,1993
Kyrgyz Republic,2410,66.3,0.841,1993
Lao,1960,54.5,0,1993
Latvia,3270,66.9,0,1993
Lebanon,3250,72.3,,1993
Lesotho,2380,59.4,1.14,1993
Liberia,2120,50.1,0,1993
Libya,,73.9,,1993
Lithuania,2820,69,0.0792,1993
Luxembourg,0,76,,1993
"Macao, China",2740,,,1993
Madagascar,2100,56.6,8.48,1993
Malawi,1880,47.8,0,1993
Malaysia,2800,72.3,0,1993
Maldives,2420,67.3,0,1993
Mali,2350,51.3,0,1993
Malta,3130,77.3,,1993
Marshall Islands,,62.8,,1993
Mauritania,2600,60.6,0.943,1993
Mauritius,2790,70.7,,1993
Mexico,3010,71.8,0,1993
"Micronesia, Fed. Sts.",,61.7,0,1993
Moldova,2480,67.8,0,1993
Monaco,,78.4,,1993
Mongolia,1850,59.8,,1993
Montenegro,0,74.7,0,1993
Morocco,2880,67.1,0,1993
Mozambique,1700,52.4,0,1993
Myanmar,1740,56.3,,1993
Namibia,2000,62,0.766,1993
Nauru,,61.6,,1993
Nepal,2190,60.3,0,1993
Netherlands,3320,77.3,0.156,1993
Netherlands Antilles,2880,,,1993
New Caledonia,2700,,,1993
New Zealand,3230,76.3,,1993
Nicaragua,1850,72.6,1.46,1993
Niger,2040,48.2,0,1993
Nigeria,2520,54.7,0,1993
North Korea,2280,68.6,,1993
North Macedonia,2320,70.2,0,1993
Norway,3220,77.5,0,1993
Oman,2320,67.5,,1993
Pakistan,2350,60.7,0,1993
Palau,,65.7,,1993
Palestine,,70,0,1993
Panama,2340,76.3,0,1993
Papua New Guinea,,62.9,0,1993
Paraguay,2440,75.8,0,1993
Peru,2160,70.6,0,1993
Philippines,2210,69.4,0,1993
Poland,3430,71.8,0,1993
Portugal,3460,74.9,,1993
Qatar,,69.9,,1993
Romania,3000,69.7,0,1993
Russia,2970,65.5,2.23,1993
Rwanda,1940,48.3,0,1993
Samoa,2340,67.4,,1993
San Marino,,80.3,,1993
Sao Tome and Principe,2190,64.1,0,1993
Saudi Arabia,2740,69,,1993
Senegal,2230,59.1,0,1993
Serbia,0,71,0,1993
Serbia and Montenegro,2900,,,1993
Seychelles,,70.7,0,1993
Sierra Leone,2040,51.6,0,1993
Singapore,,76.8,,1993
Slovak Republic,2790,72.2,0,1993
Slovenia,2780,74.7,0.0006,1993
Solomon Islands,2160,56.2,,1993
Somalia,,50.3,,1993
South Africa,2840,64.3,9.11,1993
South Korea,2960,73.6,,1993
South Sudan,,55.3,,1993
Spain,3310,77.7,0,1993
Sri Lanka,2100,72.1,0,1993
St. Kitts and Nevis,2410,67.8,,1993
St. Lucia,2680,70.7,0,1993
St. Vincent and the Grenadines,2460,70.3,,1993
Sudan,2100,60,0,1993
Suriname,2540,67.8,0,1993
Sweden,3140,78.5,0,1993
Switzerland,3360,78.7,0,1993
Syria,,69.3,0,1993
Taiwan,3060,75.4,,1993
Tajikistan,2070,58.8,0,1993
Tanzania,2100,53.7,0,1993
Thailand,2270,71.2,0,1993
Timor-Leste,2030,61.7,0,1993
Togo,1960,57.9,0,1993
Tonga,,71.3,,1993
Trinidad and Tobago,2550,69.4,0,1993
Tunisia,3170,72.7,0,1993
Turkey,3730,70.1,0,1993
Turkmenistan,2580,64.4,2.54,1993
Tuvalu,,62.1,,1993
UAE,3230,68.8,,1993
Uganda,2240,47.8,0,1993
UK,3220,76.4,0,1993
Ukraine,3240,68.6,0,1993
Uruguay,2750,73.3,0,1993
USA,3610,75.9,0,1993
USSR,0,,,1993
Uzbekistan,2710,67.1,,1993
Vanuatu,2520,63.1,,1993
Venezuela,2400,72.8,0,1993
Vietnam,2030,70.2,44.4,1993
Yemen,2090,60.3,0,1993
Yugoslavia,0,,,1993
Zambia,1980,48.7,5.5,1993
Zimbabwe,1940,58,,1993
Afghanistan,1820,53.9,,1994
Albania,2880,74.6,0,1994
Algeria,2760,68.7,0,1994
Andorra,,79.5,,1994
Angola,1640,50.3,0,1994
Antigua and Barbuda,2260,73.3,,1994
Argentina,3160,73.4,0.664,1994
Armenia,2180,69.5,0,1994
Australia,3050,78,0,1994
Austria,3560,76.7,0.0317,1994
Azerbaijan,2160,63.8,0,1994
Bahamas,2420,70.5,,1994
Bahrain,,70.3,,1994
Bangladesh,2000,61.8,0,1994
Barbados,2910,73.8,,1994
Belarus,3130,69.1,0,1994
Belgium,0,76.8,0,1994
Belize,2650,73.2,0.0181,1994
Benin,2180,56.8,0,1994
Bermuda,2820,,,1994
Bhutan,,62.6,0,1994
Bolivia,1960,63.6,0,1994
Bosnia and Herzegovina,2640,70.7,0,1994
Botswana,2190,54.6,0.482,1994
Brazil,2820,68.8,0,1994
Brunei,2890,71,,1994
Bulgaria,2870,69.3,0.0186,1994
Burkina Faso,2340,50.6,6.99,1994
Burundi,,43.9,0,1994
Cambodia,2040,58.7,4.64,1994
Cameroon,2030,57.1,0,1994
Canada,3210,78,0.0961,1994
Cape Verde,2440,69.7,0,1994
Central African Republic,1880,45.3,0,1994
Chad,1980,53.5,0,1994
Chile,2750,75.2,0.433,1994
China,2600,69.4,0,1994
Colombia,2710,72.1,0,1994
Comoros,,59.6,0,1994
"Congo, Dem. Rep.",,53.7,0,1994
"Congo, Rep.",1980,52.5,0,1994
Costa Rica,2740,76.8,0.195,1994
Cote d'Ivoire,2540,52.5,0,1994
Croatia,2370,73.3,0,1994
Cuba,2360,75.1,,1994
Cyprus,2810,75.4,,1994
Czech Republic,2980,73.2,0,1994
Czechoslovakia,0,,,1994
Denmark,3320,75.5,0,1994
Djibouti,1600,59.8,0,1994
Dominica,2870,71.7,,1994
Dominican Republic,2250,73.6,0,1994
Ecuador,2410,73.2,1.62,1994
Egypt,3260,65.7,0,1994
El Salvador,2380,70.9,0,1994
Equatorial Guinea,,52,,1994
Eritrea,,53.6,,1994
Estonia,2690,66.8,0,1994
Eswatini,2300,60.9,0,1994
Ethiopia,1550,49.4,0,1994
Fiji,2800,66.2,0,1994
Finland,2990,76.8,0,1994
France,3510,78,0.208,1994
French Polynesia,2840,,,1994
Gabon,2460,60.6,0,1994
Gambia,2380,61.3,0,1994
Georgia,1960,68.8,0,1994
Germany,3210,76.6,0.277,1994
Ghana,2310,59.6,0,1994
Greece,3580,77.7,0,1994
Grenada,2440,70.3,,1994
Guatemala,2360,62.5,0,1994
Guinea,2410,53.3,4.79,1994
Guinea-Bissau,2340,49.8,0,1994
Guyana,2530,63.4,0,1994
Haiti,1700,54.8,0,1994
Honduras,2360,70,1.32,1994
"Hong Kong, China",3210,78.5,,1994
Hungary,3030,69.6,0,1994
Iceland,3120,78.7,,1994
India,2290,61.2,464,1994
Indonesia,2470,65.7,0,1994
Iran,3070,70,0.847,1994
Iraq,2230,67.1,0,1994
Ireland,3580,75.8,0.0126,1994
Israel,3350,77.7,0,1994
Italy,3490,78,0,1994
Jamaica,2720,75.3,0,1994
Japan,2930,80.2,0,1994
Jordan,2630,71.7,0,1994
Kazakhstan,2950,64.8,0,1994
Kenya,2060,57.9,7.59,1994
Kiribati,2670,55.1,,1994
Kuwait,2930,78.7,,1994
Kyrgyz Republic,2420,65.5,0,1994
Lao,1980,54.9,0,1994
Latvia,3170,65.7,0,1994
Lebanon,3280,72.7,,1994
Lesotho,2410,58.3,0.964,1994
Liberia,2070,48.6,0,1994
Libya,,74.3,,1994
Lithuania,2780,68.5,0,1994
Luxembourg,0,76.3,,1994
"Macao, China",2640,,,1994
Madagascar,2030,57.3,0,1994
Malawi,1900,46.9,0,1994
Malaysia,2840,72.2,0,1994
Maldives,2520,68.1,0,1994
Mali,2330,51.4,7.53,1994
Malta,3160,77.7,,1994
Marshall Islands,,63.4,,1994
Mauritania,2530,60.8,0,1994
Mauritius,2830,70.8,,1994
Mexico,3010,72.2,3.33,1994
"Micronesia, Fed. Sts.",,61.8,0,1994
Moldova,2440,66.4,0,1994
Monaco,,78.5,,1994
Mongolia,1850,59.6,,1994
Montenegro,0,74.4,0,1994
Morocco,3000,67.5,0,1994
Mozambique,1680,52.6,0,1994
Myanmar,1720,56.6,,1994
Namibia,2000,61,0,1994
Nauru,,61.3,,1994
Nepal,2250,61.2,0,1994
Netherlands,3240,77.6,0,1994
Netherlands Antilles,2830,,,1994
New Caledonia,2710,,,1994
New Zealand,3170,76.7,,1994
Nicaragua,1930,73,0,1994
Niger,1990,48.8,6.92,1994
Nigeria,2500,54.7,0,1994
North Korea,2250,68.7,,1994
North Macedonia,2690,70.5,0,1994
Norway,3280,77.8,0,1994
Oman,2400,67.7,,1994
Pakistan,2400,60.6,0,1994
Palau,,65.9,,1994
Palestine,,70.6,0,1994
Panama,2340,76.6,0,1994
Papua New Guinea,,63.1,0,1994
Paraguay,2550,75.7,0,1994
Peru,2210,71.2,2.31,1994
Philippines,2310,69.6,20.8,1994
Poland,3300,71.8,0,1994
Portugal,3490,75.4,,1994
Qatar,,71,,1994
Romania,2930,69.5,1.13,1994
Russia,2920,64.2,0,1994
Rwanda,1860,9.5,0,1994
Samoa,2400,67.5,,1994
San Marino,,80.4,,1994
Sao Tome and Principe,2230,64.1,0,1994
Saudi Arabia,2700,69.2,,1994
Senegal,2150,59.2,4.53,1994
Serbia,0,70.6,0,1994
Serbia and Montenegro,2770,,,1994
Seychelles,,70.6,0,1994
Sierra Leone,2120,50.8,0,1994
Singapore,,77,,1994
Slovak Republic,2980,72.7,0,1994
Slovenia,2840,74.9,0,1994
Solomon Islands,2290,56.4,,1994
Somalia,,50.1,,1994
South Africa,2830,63.4,0,1994
South Korea,2980,73.9,,1994
South Sudan,,55.6,,1994
Spain,3300,78,0,1994
Sri Lanka,2290,72.1,0,1994
St. Kitts and Nevis,2430,67.8,,1994
St. Lucia,2730,71,0,1994
St. Vincent and the Grenadines,2330,70.3,,1994
Sudan,2140,60.9,0,1994
Suriname,2510,68.8,0,1994
Sweden,3090,78.8,0,1994
Switzerland,3330,79,0,1994
Syria,,69.5,0,1994
Taiwan,3060,75.5,,1994
Tajikistan,2030,64.2,0,1994
Tanzania,2080,53.2,0,1994
Thailand,2360,70.9,2.4,1994
Timor-Leste,2010,62.4,0,1994
Togo,2040,57.7,0,1994
Tonga,,71.3,,1994
Trinidad and Tobago,2550,69.2,0,1994
Tunisia,3110,73,0,1994
Turkey,3730,70.4,1.06,1994
Turkmenistan,2550,64.3,0,1994
Tuvalu,,62.6,,1994
UAE,3320,68.7,,1994
Uganda,2230,47.9,0,1994
UK,3240,76.7,0.388,1994
Ukraine,2980,67.9,0,1994
Uruguay,2780,73.6,0,1994
USA,3670,76,1.76,1994
USSR,0,,,1994
Uzbekistan,2700,66.2,,1994
Vanuatu,2530,63.2,,1994
Venezuela,2370,72.3,0,1994
Vietnam,2060,70.5,0,1994
Yemen,2050,60.5,0,1994
Yugoslavia,0,,,1994
Zambia,2020,47.7,0,1994
Zimbabwe,1930,56.2,,1994
Afghanistan,1840,54.3,,1995
Albania,2720,74.6,0,1995
Algeria,2790,69,1.87,1995
Andorra,,79.8,,1995
Angola,1690,51.2,0,1995
Antigua and Barbuda,2190,73.3,,1995
Argentina,3160,73.4,1.35,1995
Armenia,2270,70.1,0,1995
Australia,3100,78.3,0.242,1995
Austria,3510,77,0.0795,1995
Azerbaijan,2130,64.7,1.94,1995
Bahamas,2540,70.8,,1995
Bahrain,,70.5,,1995
Bangladesh,2040,62.2,0,1995
Barbados,2870,73.9,,1995
Belarus,3200,68.7,0.0367,1995
Belgium,0,77,0.0355,1995
Belize,2690,72.9,0.029,1995
Benin,2200,56.9,0,1995
Bermuda,2920,,,1995
Bhutan,,63.4,0,1995
Bolivia,2110,64,0,1995
Bosnia and Herzegovina,2640,66.2,0,1995
Botswana,2190,52.5,0,1995
Brazil,2810,69.2,16.1,1995
Brunei,2840,71.5,,1995
Bulgaria,2900,69.4,0.0689,1995
Burkina Faso,2340,50.7,0,1995
Burundi,,43.4,0,1995
Cambodia,2040,59,0,1995
Cameroon,2050,56.6,0,1995
Canada,3210,78.1,0,1995
Cape Verde,2310,68.7,0,1995
Central African Republic,1880,44.7,0,1995
Chad,1800,53.5,0,1995
Chile,2760,75.3,0,1995
China,2690,69.8,0,1995
Colombia,2770,72.5,0,1995
Comoros,,59.8,0,1995
"Congo, Dem. Rep.",,53.6,0,1995
"Congo, Rep.",1980,52.3,0,1995
Costa Rica,2770,76.5,0.209,1995
Cote d'Ivoire,2570,51.7,3,1995
Croatia,2550,73,0,1995
Cuba,2330,75.4,,1995
Cyprus,2820,75.5,,1995
Czech Republic,3210,73.4,0,1995
Czechoslovakia,0,,,1995
Denmark,3400,75.6,0.0173,1995
Djibouti,1710,60.5,0,1995
Dominica,2940,71.7,,1995
Dominican Republic,2260,73.7,0,1995
Ecuador,2310,73.6,1.07,1995
Egypt,3320,66.4,0,1995
El Salvador,2390,71.6,0.573,1995
Equatorial Guinea,,52.2,,1995
Eritrea,,53.6,,1995
Estonia,2920,68,0.00359,1995
Eswatini,2210,59.3,0.757,1995
Ethiopia,1570,49.6,36,1995
Fiji,2740,66.1,0,1995
Finland,3030,76.9,0,1995
France,3530,78.2,0,1995
French Polynesia,2850,,,1995
Gabon,2550,60.4,0,1995
Gambia,2390,61.4,0,1995
Georgia,2390,70,0,1995
Germany,3250,76.9,0,1995
Ghana,2350,59.9,0,1995
Greece,3520,77.8,0.178,1995
Grenada,2400,70.7,,1995
Guatemala,2280,64.1,0,1995
Guinea,2380,53.5,0,1995
Guinea-Bissau,2340,50.3,0,1995
Guyana,2580,63.1,0,1995
Haiti,1760,55.4,0,1995
Honduras,2390,69.5,1.46,1995
"Hong Kong, China",3250,78.7,,1995
Hungary,2950,70,0,1995
Iceland,3110,78.4,,1995
India,2320,61.7,0,1995
Indonesia,2550,66,0,1995
Iran,3050,70.4,0,1995
Iraq,2200,67.2,0,1995
Ireland,3510,75.7,0.0123,1995
Israel,3470,77.8,0,1995
Italy,3510,78.2,0.574,1995
Jamaica,2680,75.3,0,1995
Japan,2920,80.2,0,1995
Jordan,2690,71.8,0,1995
Kazakhstan,2870,64,0,1995
Kenya,2060,57,0,1995
Kiribati,2800,55.3,,1995
Kuwait,3210,78.3,,1995
Kyrgyz Republic,2380,65.6,0,1995
Lao,1980,55.6,0,1995
Latvia,3070,66.7,0,1995
Lebanon,3290,73.2,,1995
Lesotho,2300,57.1,0,1995
Liberia,1990,50.3,0,1995
Libya,,74.6,,1995
Lithuania,2820,69,0,1995
Luxembourg,0,76.6,,1995
"Macao, China",2730,,,1995
Madagascar,2030,57.9,0,1995
Malawi,2000,46.3,0,1995
Malaysia,2920,71.8,0.433,1995
Maldives,2420,68.7,0,1995
Mali,2340,51.7,0,1995
Malta,3280,77.8,,1995
Marshall Islands,,63.3,,1995
Mauritania,2580,61.3,0,1995
Mauritius,2900,71.1,,1995
Mexico,2970,72.3,0,1995
"Micronesia, Fed. Sts.",,62,0,1995
Moldova,2490,66,0,1995
Monaco,,78.6,,1995
Mongolia,2030,59.5,,1995
Montenegro,0,74.3,0,1995
Morocco,2950,67.7,0,1995
Mozambique,1850,52.6,0,1995
Myanmar,1770,57,,1995
Namibia,2030,60.3,0,1995
Nauru,,60.8,,1995
Nepal,2240,61.8,0,1995
Netherlands,3360,77.7,0,1995
Netherlands Antilles,2870,,,1995
New Caledonia,2640,,,1995
New Zealand,3210,76.8,,1995
Nicaragua,1970,71.5,0,1995
Niger,2060,48.6,0,1995
Nigeria,2560,54.6,0,1995
North Korea,2100,61.8,,1995
North Macedonia,2580,70.7,0,1995
Norway,3220,78,0.0157,1995
Oman,2360,67.9,,1995
Pakistan,2390,60.3,0,1995
Palau,,66,,1995
Palestine,,70.9,0,1995
Panama,2230,76.5,0.433,1995
Papua New Guinea,,63.2,0,1995
Paraguay,2540,75.4,0.552,1995
Peru,2200,71.5,0,1995
Philippines,2290,69.8,0,1995
Poland,3320,72,0,1995
Portugal,3460,75.5,,1995
Qatar,,71.8,,1995
Romania,3030,69.4,0,1995
Russia,2890,64.8,0,1995
Rwanda,1810,46.4,0,1995
Samoa,2470,67.7,,1995
San Marino,,80.7,,1995
Sao Tome and Principe,2110,64.1,0,1995
Saudi Arabia,2850,69.4,,1995
Senegal,2170,59.2,0,1995
Serbia,0,70.6,0,1995
Serbia and Montenegro,2880,,,1995
Seychelles,,71,0,1995
Sierra Leone,2140,50.6,0,1995
Singapore,,77.1,,1995
Slovak Republic,2840,72.7,0,1995
Slovenia,2910,75.1,0,1995
Solomon Islands,2380,56.6,,1995
Somalia,,50.3,,1995
South Africa,2810,62.9,8.38,1995
South Korea,3020,74.3,,1995
South Sudan,,55.8,,1995
Spain,3220,78.1,0.658,1995
Sri Lanka,2220,70.9,0,1995
St. Kitts and Nevis,2490,67.9,,1995
St. Lucia,2670,71.4,0.0308,1995
St. Vincent and the Grenadines,2330,70.5,,1995
Sudan,2170,61.3,0,1995
Suriname,2550,70.9,0,1995
Sweden,3090,79.1,0.03,1995
Switzerland,3310,78.9,0,1995
Syria,,69.8,0,1995
Taiwan,3080,75.5,,1995
Tajikistan,1970,64.6,0,1995
Tanzania,2030,52.9,0,1995
